18.06.1986 ; NOKES ; SPLIT ; 1 ; 5 
20.04.1987 ; NOKEUUS ; TUNNUSNIMI ; NOKES ; Nokia Etu uusi ; Nokia Etu 
24.04.1995 ; NOKAV ; SPLIT ; 1 ; 4
24.04.1995 ; NOKKV ; SPLIT ; 1 ; 4
29.12.1995 ; UNI1V ; TUNNUSNIMI ; MTA1V ; Unitas ; Merita
29.12.1995 ; KOP1V ; SPLIT ; 3 ; 1
29.12.1995 ; KOP1V ; TUNNUSNIMI ; MTA1V ; KOP A ; Merita
01.09.1997 ; RATKS ; TUNNUS ; RAIKV
01.09.1997 ; RTEVS ; TUNNUS ; RAIVV
24.10.1997 ; SAMAS ; SPLIT ; 1 ; 4
12.03.1998 ; KELAS ; SPLIT ; 1 ; 2
01.04.1998 ; AAM1S ; TUNNUSNIMI ; ALM1V ; Aamulehti I ; Alma Media 1
01.04.1998 ; AAM2S ; TUNNUSNIMI ; ALM2V ; Aamulehti II ; Alma Media 2
01.04.1998 ; TTEBS ; TUNNUSNIMI ; TIE1V ; Tieto B ; TietoEnator
16.04.1998 ; NOKAV ; SPLIT ; 1 ; 2
16.04.1998 ; NOKKV ; SPLIT ; 1 ; 2
27.04.1998 ; ÅAB1S ; TUNNUS ; ALBAV
27.04.1998 ; ÅABPV ; TUNNUS ; ALBBV
27.04.1998 ; HARAS ; SPLIT ; 1 ; 5
29.04.1998 ; CHIPS ; TUNNUS ; CHIBV
12.05.1998 ; STOAS ; SPLIT ; 1 ; 2
12.05.1998 ; STOBV ; SPLIT ; 1 ; 2
22.05.1998 ; BIRKS ; TUNNUS ; BIRAV
22.05.1998 ; BIRPS ; TUNNUS ; BIRBV
29.06.1998 ; RAIKV ; SPLIT ; 1 ; 10
29.06.1998 ; RAIVV ; SPLIT ; 1 ; 10
01.07.1998 ; TIE1V ; SPLIT ; 1 ; 2
09.09.1998 ; HKRAV ; SPLIT ; 1 ; 5
05.11.1998 ; TUHAS ; TUNNUS ; ELEAV
05.11.1998 ; MAVKS ; TUNNUS ; MAV1V
05.11.1998 ; MEMBS ; TUNNUSNIMI ; NEOBV ; Metsämarkka B ; Neomarkka B
23.11.1998 ; TTMBS ; TUNNUS ; TTM1V
02.12.1998 ; FISAS ; SPLIT ; 1 ; 6
02.12.1998 ; FISKS ; SPLIT ; 1 ; 6
29.12.1998 ; EOYAV ; TUNNUSNIMI ; STEAV ; Enso A ; Stora Enso A
29.12.1998 ; EOYRV ; TUNNUSNIMI ; STERV ; Enso R ; Stora Enso R
12.04.1999 ; NOKKV ; TUNNUSNIMI ; NOK1V ; Nokia K ; Nokia
12.04.1999 ; NOKAV ; TUNNUSNIMI ; NOK1V ; Nokia A ; Nokia
12.04.1999 ; NOK1V ; SPLIT ; 1 ; 2
13.04.1999 ; OKOAS ; SPLIT ; 1 ; 2
29.04.1999 ; JOT1V ; SPLIT ; 1 ; 2
11.05.1999 ; LEOAS ; SPLIT ; 1 ; 2
12.05.1999 ; NEPAV ; TUNNUSNIMI ; NEP1V ; Neptun A ; Neptun Maritime
