# toimiala ; tyyppi ; tunnus ; nimi ; jakaja ; CCY
teollisuustuotteet ja -palvelut ; S ; VAIAS ; Vaisala A ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; VALOE ; Valoe ; 1 ; EUR
teollisuustuotteet ja -palvelut ; S ; VALMT ; Valmet ; 1 ; EUR
yhdyskuntapalvelut ; S ; FORTUM ; Fortum ; 1 ; EUR
energia ; S ; NESTE ; Neste; 1 ; EUR
tietoliikennepalvelut ; S ; ELISA ; Elisa ; 1 ; EUR
tietoliikennepalvelut ; S ; TELIA1 ; Telia ; 1 ; EUR ; Ruotsi
teknologia ; S ; BAS1V ; BasWare ; 1 ; EUR
teknologia ; S ; BITTI ; Bittium ; 1 ; EUR
teknologia ; S ; DIGIA ; Digia ; 1 ; EUR
teknologia ; S ; DIGIGR ; Digitalist Group ; 1 ; EUR
teknologia ; S ; FSC1V ; F-Secure ; 1 ; EUR
teknologia ; S ; IFA1V ; Innofactor ; 1 ; EUR
teknologia ; S ; NIXU ; Nixu ; 1 ; EUR
teknologia ; S ; NOKIA ; Nokia ; 1 ; EUR
teknologia ; S ; QPR1V ; QPR Software ; 1 ; EUR
teknologia ; S ; QTCOM ; Qt Group ; 1 ; EUR
teknologia ; S ; SIILI ; Siili Solutions ; 1 ; EUR
teknologia ; S ; SOL1V ; Solteq ; 1 ; EUR
teknologia ; S ; SOPRA ; Soprano ; 1 ; EUR
teknologia ; S ; SSH1V ; SSH Communications Security ; 1 ; EUR
teknologia ; S ; TEM1V ; Tecnotree; 1 ; EUR
teknologia ; S ; TEL1V ; Teleste ; 1 ; EUR
teknologia ; S ; TIETO ; TietoEVRY ; 1 ; EUR
teknologia ; S ; TRH1V ; Trainers House ; 1 ; EUR
Kulutuspalvelut ; S ; ALMA ; Alma Media ; 1 ; EUR
Kulutuspalvelut ; S ; FIA1S ; Finnair ; 1 ; EUR
Kulutuspalvelut ; S ; ILK2S ; Ilkka-yhtymä 2 ; 1 ; EUR
Kulutuspalvelut ; S ; KAMUX ; Kamux ; 1 ; EUR
Kulutuspalvelut ; S ; KSLAV ; Keskisuomalainen A ; 1 ; EUR
Kulutuspalvelut ; S ; KESKOA ; Kesko A ; 1 ; EUR
Kulutuspalvelut ; S ; KESKOB ; Kesko B ; 1 ; EUR
Kulutuspalvelut ; S ; MUSTI ; Musti Group ; 1 ; EUR
Kulutuspalvelut ; S ; NOHO ; NoHo Partners ; 1 ; EUR
Kulutuspalvelut ; S ; PUMU ; PunaMusta Media ; 1 ; EUR
Kulutuspalvelut ; S ; SAA1V ; Sanoma ; 1 ; EUR
Kulutuspalvelut ; S ; STCAS ; Stockmann A ; 1 ; EUR
Kulutuspalvelut ; S ; STCBV ; Stockmann B ; 1 ; EUR
Kulutuspalvelut ; S ; TALLINK ; Tallink Grupp ; 1 ; EUR
Kulutuspalvelut ; S ; TOKMAN ; Tokmanni Group ; 1 ; EUR
Kulutuspalvelut ; S ; VERK ; Verkkokauppa ; 1 ; EUR
Kulutuspalvelut ; S ; VIK1V ; Viking Line ; 1 ; EUR
Kulutustavarat ; S ; ALTIA ; Altia ; 1 ; EUR
Kulutustavarat ; S ; APETI ; Apetit ; 1 ; EUR
Kulutustavarat ; S ; ATRAV ; Atria A ; 1 ; EUR
Kulutustavarat ; S ; FSKRS ; Fiskars ; 1 ; EUR
Kulutustavarat ; S ; HARVIA ; Harvia ; 1 ; EUR
Kulutustavarat ; S ; HKSAV ; HKScan ; 1 ; EUR
Kulutustavarat ; S ; HONBS ; Honkarakenne B ; 1 ; EUR
Kulutustavarat ; S ; MEKKO ; Marimekko ; 1 ; EUR
Kulutustavarat ; S ; MARAS ; Martela A ; 1 ; EUR
Kulutustavarat ; S ; TYRES ; Nokian Renkaat ; 1 ; EUR
Kulutustavarat ; S ; OLVAS ; Olvi A ; 1 ; EUR
Kulutustavarat ; S ; RAIVV ; Raisio-yhtymä V ; 1 ; EUR
Kulutustavarat ; S ; RAP1V ; Rapala VMC ; 1 ; EUR
Kulutustavarat ; S ; ROVIO ; Rovio Entertainment Oyj ; 1 ; EUR
Kulutustavarat ; S ; SAGCV ; Saga Furs ; 1 ; EUR
Kulutustavarat ; S ; SUY1V ; Suominen Yhtymä ; 1 ; EUR
Pre-lista ; S ; HEALTH ; Nightingale Health Oyj B ; 1 ; EUR
Pre-lista ; S ; ILK1S ; Ilkka-yhtymä 1 ; 1 ; EUR
Pre-lista ; S ; RAIKV ; Raisio-yhtymä K ; 1 ; EUR
Pre-lista ; S ; ORTHEX ; Orthex ; 1 ; EUR
Pre-lista ; S ; SITOWS ; Sitowise ; 1 ; EUR
First North ; S ; AALLON ; Aallon Group ; 1 ; EUR
First North ; S ; ADMCM ; Admicom ; 1 ; EUR
First North ; S ; AHOLA ; Ahola Transport A ; 1 ; EUR
First North ; S ; AVIDLY ; Avidly ; 1 ; EUR
First North ; S ; BILOT ; Bilot ; 1 ; EUR
First North ; S ; BONE ; BBS-Bioactive Bone Substitutes ; 1 ; EUR
First North ; S ; DETEC ; Detection Technology ; 1 ; EUR
First North ; S ; EABGB ; EAB Group ; 1 ; EUR
First North ; S ; EEZY ; Eezy ; 1 ; EUR
First North ; S ; EFECTE ; Efecte ; 1 ; EUR
First North ; S ; ESENSE ; Enersense International ; 1 ; EUR
First North ; S ; FARON ; Faron Pharmaceuticals; 1 ; EUR
First North ; S ; FELLOW ; Fellow Finance ; 1 ; EUR
First North ; S ; FITBIO ; FIT Biotech ; 1 ; EUR
First North ; S ; FODELIA ; Fodelia ; 1 ; EUR
First North ; S ; FONDIA ; Fondia ; 1 ; EUR
First North ; S ; GOFORE ; Gofore ; 1 ; EUR
First North ; S ; HEEROS ; Heeros ; 1 ; EUR
First North ; S ; HRTIS ; Herantis Pharma ; 1 ; EUR
First North ; S ; LEADD ; Leaddesk ; 1 ; EUR
First North ; S ; LOUD ; Loudspring ; 1 ; EUR
First North ; S ; NANOFH ; Nanoform Finland; 1 ; EUR
First North ; S ; NXTMH ; Nexstim ; 1 ; EUR
First North ; S ; NXTGMS ; Next Games ; 1 ; EUR
First North ; S ; NORDID ; Nordic ID ; 1 ; EUR
First North ; S ; PARTNE1 ; Partnera ; 1 ; EUR
First North ; S ; PIIPPO ; Piippo ; 1 ; EUR
First North ; S ; PRIVA ; Privanet ; 1 ; EUR
First North ; S ; REMEDY ; Remedy Entertainment ; 1 ; EUR
First North ; S ; RUSH ; Rush Factory ; 1 ; EUR
First North ; S ; SAVOH ; Savo-Solar ; 1 ; EUR
First North ; S ; TITAN ; Titanium ; 1 ; EUR
First North ; S ; VIAFIN ; Viafin Service ; 1 ; EUR
First North ; S ; VINCIT ; Vincit Group ; 1 ; EUR
Indeksiosuudet ; S ; SLG OMXH25 ; OMX25-indeksiosuus ; 1 ; EUR
optiot ; O ; GLA1VUO119 ; Glaston merk oikeus ; 1 ; EUR
optiot ; O ; KRA1VU0109 ; Kemira merk oikeus ; 1 ; EUR
optiot ; O ; POH1SU0109 ; Pohjola 2009 MO ; 1 ; EUR
optiot ; O ; ALM2VEW199 ; Alma Media -99 A-opt ; 1
optiot ; O ; AMEASEW198 ; Amer-yhtymä-98 A-opt ; 1
optiot ; O ; ACG1VEW199 ; Aspocomp  opt 1/99 ; 1
optiot ; O ; CHIBVEW398 ; Chips -98 III opt ; 1
optiot ; O ; CTL1VEW199 ; Comptel -99 A-optio ; 1
optiot ; O ; CVM1VEW199 ; Conventum -99 optio ; 1
optiot ; O ; EXL1VEW198 ; Exel A opt 1/98 ; 1
optiot ; O ; FSC1VEW198 ; F-Secure 98 A-opt ; 1
optiot ; O ; FSC1VEW298 ; F-Secure 98 B-opt ; 1
optiot ; O ; FIA1SEW100 ; Finnair opt 00 ; 1
optiot ; O ; INS1VEW198 ; Instrum.-98 A-optio ; 1
optiot ; O ; JPG1VEW198 ; Jaakko Pöyry A ; 1
optiot ; O ; JIP1VEW100 ; Jippii Group -00 opt ; 1
optiot ; O ; JIP1VEW199 ; Jippii Group -99 opt ; 1
optiot ; O ; MRLBVEW197 ; M-real -97 optio ; 1
optiot ; O ; MEO1VEW100 ; Metso 2000 A-opt ; 1
optiot ; O ; NOK1VEW197 ; Nokia 97 A- ja B- opt ; 1
optiot ; O ; NOK1VEW199 ; Nokia 99 A-optio ; 1
optiot ; O ; NOK1VEW299 ; Nokia 99 B-optio ; 1
optiot ; O ; NOK1VEW101 ; Nokia2001AB ; 1
optiot ; O ; NOK1VEW601 ; Nokia2001C ; 1
optiot ; O ; NOK1VEW102 ; Nokia2002AB ; 1
optiot ; O ; NOK1VEW103 ; Nokia2003 ; 1
optiot ; O ; NOA1VEW198 ; Nordic Aluminium -98 opt; 1
optiot ; O ; OKM1VEW100 ; Okmetic A 1/00 ; 1
optiot ; O ; OLVASEW199 ; Olvi A-opt.1/99 ; 1
optiot ; O ; ORIBSEW198 ; Orion-yhtymä A-optio ; 1
optiot ; O ; OUT1VEW198 ; Outokumpu -98 optio ; 1
optiot ; O ; POS1VEW197 ; Perlos -97 A-opt. ; 1
optiot ; O ; POS1VEW198 ; Perlos -98 A-opt. ; 1
optiot ; O ; POS1VEW199 ; Perlos -99 A-optio ; 1
optiot ; O ; POLKSEW194 ; Polar Opt. 1/94 ; 1
optiot ; O ; RAKBSEW198 ; Rak. Konev.-98 A-opt ; 1
optiot ; O ; RUTAVEW198 ; Raute A opt 1/98 ; 1
optiot ; O ; SAMASEW198 ; Sampo A-optio 98 ; 1
optiot ; O ; SAT1VEW199 ; Satama Interactive -99 A-optio ; 1
optiot ; O ; SRA1VEW199 ; Sonera -99 A-optio ; 1
optiot ; O ; STOBVEW197 ; Stockmann A/B opt -97 ; 1
optiot ; O ; TJT1VEW199 ; TJ Group A-optio ; 1
optiot ; O ; TEC1VU0102 ; Technopolis MO 1/2002 ; 1
optiot ; O ; TEL1VEW197 ; Teleste A 97 ; 1
optiot ; O ; TIE1VEW198 ; TietoEnator A-opt.1/98 ; 1
optiot ; O ; TIE1VEW298 ; Tietoenator -98 opt ; 1
optiot ; O ; UPM1VEW198 ; UPM-Kymmene -98 A-optio ; 1
optiot ; O ; WRTBVEW196 ; Wärtsilä  1/96 ; 1
optiot ; O ; YTY1VEW198 ; YIT-Yhtymä Oyj A Optiotod. 1/98 ; 1
osakerahasto ; F ; ABNEAEUEQ ; ABN AMRO Eastern Europe Equity Fund ; 1
osakerahasto ; F ; ABNGLEMEQ ; ABN AMRO Global Emerging Markets Equity Fund ; 1
osakerahasto ; F ; ABNGLISEQ ; ABN AMRO Global Information Society Equity Fu ; 1
osakerahasto ; F ; ABNGLLSEQ ; ABN AMRO Global Life Society Equity Fund ; 1
osakerahasto ; F ; ABNGLRSEQ ; ABN AMRO Global Resources Society Equity Fund ; 1
osakerahasto ; F ; ABNLAAMEQ ; ABN AMRO latin America Equity Fund ; 1
osakerahasto ; F ; AKTIACAPA ; Aktia Capital A ; 1
osakerahasto ; F ; AKTIACAPB ; Aktia Capital B ; 1
osakerahasto ; F ; AKTIAEUROA ; Aktia Euro A ; 1
osakerahasto ; F ; AKTIAEUROB ; Aktia Euro B ; 1
osakerahasto ; F ; AKTIAGLOBA ; Aktia Global A ; 1
osakerahasto ; F ; AKTIAGLOBB ; Aktia Global B ; 1
osakerahasto ; F ; AKTIAMEDICAA ; Aktia Medica A ; 1
osakerahasto ; F ; AKTIAMEDICAB ; Aktia Medica B ; 1
osakerahasto ; F ; AKTIATMTA ; Aktia TMT A ; 1
osakerahasto ; F ; AKTIATMTB ; Aktia TMT B ; 1
osakerahasto ; F ; ALFEUROPEA ; Alfred Berg Europe A ; 1
osakerahasto ; F ; ALFEUROPEB ; Alfred Berg Europe B ; 1
osakerahasto ; F ; ABERGFINA ; Alfred Berg Finland A ; 1
osakerahasto ; F ; ABERGFINB ; Alfred Berg Finland B ; 1
osakerahasto ; F ; ALFSICNOR ; Alfred Berg Norden (Sicav) ; 1
osakerahasto ; F ; ALFPFOLIOA ; Alfred Berg Portfolio A ; 1
osakerahasto ; F ; ALFPFOLIOB ; Alfred Berg Portfolio B ; 1
osakerahasto ; F ; ALFRUSSIA ; Alfred Berg Russia ; 1
osakerahasto ; F ; ALFSICFEA ; Alfred Berg Sicav Far East ; 1
osakerahasto ; F ; ALFSICGER ; Alfred Berg Sicav Germany ; 1
osakerahasto ; F ; ALFSICGLO ; Alfred Berg Sicav Global ; 1
osakerahasto ; F ; ALFSICJAP ; Alfred Berg Sicav Japan ; 1
osakerahasto ; F ; ALFSICNAM ; Alfred Berg Sicav North America ; 1
osakerahasto ; F ; ALFSICSWI ; Alfred Berg Sicav Switzerland ; 1
osakerahasto ; F ; ALFSMALLCA ; Alfred Berg Small Cap A ; 1
osakerahasto ; F ; ALFSMALLCB ; Alfred Berg Small Cap B ; 1
osakerahasto ; F ; ALFSVERIG ; Alfred Berg Sverige ; 1
osakerahasto ; F ; AURABIOMED ; Aurator BioMed ; 1
osakerahasto ; F ; AURANEXUS ; Aurator Nexus ; 1
osakerahasto ; F ; CARAKSJE ; Carnegie Aksje Norge ; 1
osakerahasto ; F ; CARASIA ; Carnegie Asia ; 1
osakerahasto ; F ; CAREASTEU ; Carnegie East-European ; 1
osakerahasto ; F ; CARNEMEDI ; Carnegie Medical ; 1
osakerahasto ; F ; CARMONIRAH ; Carnegie Monirahasto ; 1
osakerahasto ; F ; CARNORDMA ; Carnegie N. Markets ; 1
osakerahasto ; F ; CARSMABOL ; Carnegie Småbolag ; 1
osakerahasto ; F ; CARNEGIOSA ; Carnegie Suomi Osake ; 1
osakerahasto ; F ; CARSVERIGE ; Carnegie Sverige ; 1
osakerahasto ; F ; CARWORLDW ; Carnegie WorldWide ; 1
osakerahasto ; F ; CONEUROVA ; Conventum Euro Value A ; 1
osakerahasto ; F ; CONEUROVB ; Conventum Euro Value B ; 1
osakerahasto ; F ; CONFINLANA ; Conventum Finland Value A ; 1
osakerahasto ; F ; CONFINLANB ; Conventum Finland Value B ; 1
osakerahasto ; F ; CONOSAKEA ; Conventum Osake A ; 1
osakerahasto ; F ; CONOSAKEB ; Conventum Osake B ; 1
osakerahasto ; F ; CONPHARMAA ; Conventum Pharma A ; 1
osakerahasto ; F ; CONPHARMAB ; Conventum Pharma B ; 1
osakerahasto ; F ; CONSMALLCA ; Conventum small_cap.com A ; 1
osakerahasto ; F ; CONSMALLCB ; Conventum small_cap.com B ; 1
osakerahasto ; F ; ELITE ; Elite ; 1
osakerahasto ; F ; EVLEETA ; Evli Emerging Technologies A ; 1
osakerahasto ; F ; EVLEETB ; Evli Emerging Technologies B ; 1
osakerahasto ; F ; EVLIEU50A ; Evli Euro 50 A ; 1
osakerahasto ; F ; EVLIEU50B ; Evli Euro 50 B ; 1
osakerahasto ; F ; EVLIEEGA ; Evli European Growth A ; 1
osakerahasto ; F ; EVLIEEGB ; Evli European Growth B ; 1
osakerahasto ; F ; EVLIESCA ; Evli European Smaller Companies A ; 1
osakerahasto ; F ; EVLIESCB ; Evli European Smaller Companies B ; 1
osakerahasto ; F ; EVLIFSTA ; Evli Finland Small Tech A ; 1
osakerahasto ; F ; EVLIFSTB ; Evli Finland Small Tech B ; 1
osakerahasto ; F ; EVLIGLOBAA ; Evli Global A ; 1
osakerahasto ; F ; EVLIGLOBAB ; Evli Global B ; 1
osakerahasto ; F ; EVLIITINFA ; Evli IT-Informaatioteknologia A ; 1
osakerahasto ; F ; EVLIITINFB ; Evli IT-Informaatioteknologia B ; 1
osakerahasto ; F ; EVLINSCA ; Evli Nordic Smaller Companies A ; 1
osakerahasto ; F ; EVLINSCB ; Evli Nordic Smaller Companies B ; 1
osakerahasto ; F ; EVLISELECA ; Evli Select A ; 1
osakerahasto ; F ; EVLISELECB ; Evli Select B ; 1
osakerahasto ; F ; EVLIUSETA ; Evli U.S. Emerging Technologies A ; 1
osakerahasto ; F ; EVLIUSETB ; Evli U.S. Emerging Technologies B ; 1
osakerahasto ; F ; FIMCHINA ; FIM China ; 1
osakerahasto ; F ; FIMFENNO ; FIM Fenno ; 1
osakerahasto ; F ; FIMIND ; FIM India ; 1
osakerahasto ; F ; FIMMONDOK ; FIM Mondo K ; 1
osakerahasto ; F ; FIMMONDOT ; FIM Mondo T ; 1
osakerahasto ; F ; FIMRENTO ; FIM Rento ; 1
osakerahasto ; F ; FIMROHTO ; FIM Rohto ; 1
osakerahasto ; F ; FIMRUSSIA ; FIM Russia ; 1
osakerahasto ; F ; FIMTEKNO ; FIM Tekno ; 1
osakerahasto ; F ; FIMUNIONI ; FIM Unioni ; 1
osakerahasto ; F ; FIDAMERICA ; Fidelity America ; 1
osakerahasto ; F ; FIDAMEGROW ; Fidelity America Growth ; 1
osakerahasto ; F ; FIDASEAN ; Fidelity Asean ; 1
osakerahasto ; F ; FIDASIASSI ; Fidelity Asian Special Situations ; 1
osakerahasto ; F ; FIDAUSTRAL ; Fidelity Australia ; 1
osakerahasto ; F ; FIDEMRMARK ; Fidelity Emerging Markets ; 1
